,NEUT,Pred_NEUT
0,267.7668,-999.25
1,268.3764,-999.25
2,269.4432,-999.25
3,269.9004,-999.25
4,275.844,-999.25
5,281.7876,-999.25
6,281.94,-999.25
7,282.0924,-999.25
8,294.4368,-999.25
9,296.2656,-999.25
10,301.1424,-999.25
11,302.2092,-999.25
12,303.1236,-999.25
13,305.4096,-999.25
14,305.8668,-999.25
15,306.0192,-999.25
16,306.4764,-999.25
17,306.6288,-999.25
18,306.9336,-999.25
19,315.0108,-999.25
20,320.3448,-999.25
21,321.2592,-999.25
22,321.564,-999.25
23,323.2404,-999.25
24,329.4888,-999.25
25,329.6412,-999.25
26,331.0128,-999.25
27,331.1652,-999.25
28,331.3176,-999.25
29,331.47,-999.25
30,331.6224,-999.25
31,331.7748,-999.25
32,331.9272,-999.25
33,332.0796,-999.25
34,332.23199999999997,-999.25
35,332.3844,-999.25
36,332.5368,-999.25
37,332.6892,-999.25
38,332.8416,-999.25
39,332.994,-999.25
40,333.1464,-999.25
41,333.2988,-999.25
42,333.4512,-999.25
43,333.6036,-999.25
44,333.756,-999.25
45,333.9084,-999.25
46,334.0608,-999.25
47,334.2132,-999.25
48,334.3656,-999.25
49,334.51800000000003,-999.25
50,334.6704,-999.25
51,334.8228,-999.25
52,334.9752,-999.25
53,335.1276,-999.25
54,335.28,-999.25
55,335.4324,-999.25
56,335.5848,-999.25
57,335.7372,-999.25
58,335.8896,-999.25
59,336.042,-999.25
60,336.1944,-999.25
61,336.3468,-999.25
62,336.4992,-999.25
63,336.6516,-999.25
64,336.80400000000003,-999.25
65,336.9564,-999.25
66,337.1088,-999.25
67,337.2612,-999.25
68,337.4136,-999.25
69,337.566,-999.25
70,337.7184,-999.25
71,337.8708,-999.25
72,338.0232,-999.25
73,338.1756,-999.25
74,338.32800000000003,-999.25
75,338.4804,-999.25
76,338.6328,-999.25
77,338.7852,-999.25
78,338.9376,-999.25
79,339.09,-999.25
80,339.2424,-999.25
81,339.3948,-999.25
82,339.5472,-999.25
83,339.6996,-999.25
84,339.852,-999.25
85,340.0044,-999.25
86,340.1568,-999.25
87,340.3092,-999.25
88,340.4616,-999.25
89,340.61400000000003,-999.25
90,340.7664,-999.25
91,340.9188,-999.25
92,341.0712,-999.25
93,341.2236,-999.25
94,341.376,-999.25
95,341.5284,-999.25
96,341.6808,-999.25
97,341.8332,-999.25
98,341.9856,-999.25
99,342.13800000000003,-999.25
100,342.2904,-999.25
101,342.4428,-999.25
102,342.5952,-999.25
103,342.7476,-999.25
104,342.9,-999.25
105,343.0524,-999.25
106,343.2048,-999.25
107,343.3572,-999.25
108,343.5096,-999.25
109,343.662,-999.25
110,343.8144,-999.25
111,343.9668,0.4738563
112,344.1192,0.4725197333333334
113,344.2716,0.4694564333333334
114,344.42400000000004,0.47606449999999995
115,344.5764,0.4785489
116,344.7288,0.4798954
117,344.8812,0.4810267
118,345.0336,0.4769743
119,345.186,0.46441219999999994
120,345.3384,0.46689549999999996
121,345.4908,0.4742031
122,345.6432,0.4721239
123,345.7956,0.4832461
124,345.94800000000004,0.4872537
125,346.1004,0.4884187000000001
126,346.2528,0.4761968
127,346.4052,0.4652302
128,346.5576,0.4721584
129,346.71,0.4721584
130,346.8624,0.46339810000000003
131,347.0148,0.4662514
132,347.1672,0.46362889999999995
133,347.3196,0.4616694
134,347.472,0.4622571
135,347.6244,0.45187523333333335
136,347.7768,0.4536819333333334
137,347.9292,0.4599695333333334
138,348.0816,0.4603851333333334
139,348.23400000000004,0.4603851333333334
140,348.3864,0.45640823333333336
141,348.5388,0.4542275333333333
142,348.6912,0.4579994333333334
143,348.8436,0.45598903333333335
144,348.996,0.4474250333333334
145,349.1484,0.44708623333333336
146,349.3008,0.44180273333333336
147,349.4532,0.44497323333333333
148,349.6056,0.4561096333333333
149,349.75800000000004,0.4561096333333333
150,349.9104,0.44497323333333333
151,350.0628,0.44180273333333336
152,350.2152,0.44296143333333343
